timestamp,open,high,low,close,volume
2025-02-11 14:00:00,0.2001,1.5,0.2001,1.0172,3833791.52
2025-02-11 15:00:00,1.0175,1.0641,0.8063,0.8475,1461985.82
2025-02-11 16:00:00,0.8456,0.9,0.7739,0.811,1149850.82
2025-02-11 17:00:00,0.8107,0.86,0.8,0.8255,763828.05
2025-02-11 18:00:00,0.8252,0.8837,0.8104,0.8276,760908.77
2025-02-11 19:00:00,0.8259,0.856,0.8029,0.8476,383986.67
2025-02-11 20:00:00,0.8478,0.8734,0.8217,0.8508,380657.93
2025-02-11 21:00:00,0.8506,0.946,0.8402,0.887,413458.95
2025-02-11 22:00:00,0.8858,0.9634,0.8845,0.9194,636313.23
2025-02-11 23:00:00,0.9198,1.0918,0.8884,1.0559,1011030.29
2025-02-12 00:00:00,1.0593,1.5,0.9907,1.2479,2396675.76
2025-02-12 01:00:00,1.2615,1.4578,1.2043,1.2091,1286812.26
2025-02-12 02:00:00,1.2104,1.35,1.2075,1.3083,739869.94
2025-02-12 03:00:00,1.3063,1.3552,1.2155,1.2573,959394.96
2025-02-12 04:00:00,1.2552,1.3093,1.225,1.2846,627515.84
2025-02-12 05:00:00,1.2807,1.49,1.2501,1.2895,795877.18
2025-02-12 06:00:00,1.2894,1.3,1.0584,1.0916,1319259.21
2025-02-12 07:00:00,1.0922,1.1553,1.0383,1.0922,946654.39
2025-02-12 08:00:00,1.0907,1.1527,1.0562,1.0984,775795.99
2025-02-12 09:00:00,1.0982,1.1111,1.0688,1.103,558087.97
2025-02-12 10:00:00,1.103,1.1799,1.0878,1.1532,821231.52
2025-02-12 11:00:00,1.1521,1.1773,1.0828,1.0986,705476.2
2025-02-12 12:00:00,1.0981,1.13,1.0777,1.1049,590131.28
2025-02-12 13:00:00,1.103,1.1409,1.065,1.1092,692540.31
2025-02-12 14:00:00,1.1092,1.1092,0.9685,1.0224,1086103.98
2025-02-12 15:00:00,1.0225,1.025,0.9215,0.9472,962703.77
2025-02-12 16:00:00,0.9451,1.0247,0.9293,0.9883,872601.11
2025-02-12 17:00:00,0.9883,1.007,0.9484,0.993,412474.31
2025-02-12 18:00:00,0.9891,1.04,0.9823,0.9958,495863.91
2025-02-12 19:00:00,0.9958,0.9984,0.9061,0.9612,578925.22
